Rank,Rating,Name,Subtitle,Year,MinPlayers,MaxPlayers,BestPlayers,MinPlayTime,MaxPlayTime,MinAge,Weight,Type
1,8.511,Gloomhaven ,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,2017,1,4,3,60,120,14,3.87,"Strategy,  Thematic"
2,8.442,Pandemic Legacy: Season 1,Mutating diseases are spreading around the world - can your team save humanity?,2015,2,4,4,60,60,13,2.83,"Strategy,  Thematic"
3,8.418,Brass: Birmingham,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",2018,2,4,"3, 4",60,120,14,3.9,Strategy 
4,8.273,Terraforming Mars,Compete with rival CEOs to make Mars habitable and build your corporate empire.,2016,1,5,3,120,120,12,3.24,Strategy 
5,8.262,Twilight Imperium: Fourth Edition,"Build an intergalactic empire through trade, research, conquest and grand politics. ",2017,3,6,6,240,480,14,4.26,"Strategy,  Thematic"
6,8.261,Gloomhaven: Jaws of the Lion,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign. ,2020,1,4,None,30,120,14,3.57,"Strategy,  Thematic"
7,8.175,Gaia Project,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",2017,1,4,"3, 4",60,150,12,4.37,Strategy 
8,8.172,Star Wars: Rebellion,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,2016,2,4,2,180,240,14,3.73,Thematic
9,8.15,Through the Ages: A New Story of Civilization,Rewrite history as you build up your civilization in this epic card drafting game!,2015,2,4,3,120,120,14,4.41,Strategy 
10,8.136,War of the Ring: Second Edition,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,2012,2,4,2,150,180,13,4.17,"Thematic,  Wargames"
11,8.133,Spirit Island,Island Spirits join forces using elemental powers to defend their home from invaders.,2017,1,4,2,90,120,13,4.03,Strategy 
12,8.124,Great Western Trail,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,2016,2,4,3,75,150,12,3.71,Strategy 
13,8.114,Twilight Struggle,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,2005,2,2,2,120,180,13,3.59,"Strategy,  Wargames"
14,8.064,Scythe ,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",2016,1,5,4,90,115,14,3.43,Strategy 
15,8.008,The Castles of Burgundy,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",2011,2,4,2,30,90,12,3,Strategy 
16,7.984,7 Wonders Duel,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,2015,2,2,2,30,30,10,2.22,Strategy 
17,7.982,Nemesis,Survive an alien-infested spaceship but beware of other players and their agendas.,2018,1,5,"4, 5",90,180,12,3.38,Thematic
18,7.966,Terra Mystica,Play fantastical factions. Expand your influence by terraforming and joining cults.,2012,2,5,4,60,150,12,3.97,Strategy 
19,7.965,Concordia,Lead your Roman dynasty and build the greatest trading empire in the Mediterranean.,2013,2,5,4,100,100,13,3.01,Strategy 
20,7.963,Brass: Lancashire,Test your economic mettle as you build and network in the industrial revolution. ,2007,2,4,4,60,120,14,3.86,Strategy 
21,7.962,Dune: Imperium,"Influence, intrigue, and combat in the universe of Dune.",2020,1,4,"3, 4",60,120,14,2.97,"Strategy,  Thematic"
22,7.949,A Feast for Odin,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",2016,1,4,3,30,120,12,3.86,Strategy 
23,7.944,Wingspan,Attract a beautiful and diverse collection of birds to your wildlife reserve.,2019,1,5,3,40,70,10,2.44,"Family,  Strategy"
24,7.927,Arkham Horror: The Card Game,Investigate the horrors of Arkham while courting cosmic doom.,2016,1,2,2,60,120,14,3.48,"Customizable,  Thematic"
25,7.895,Viticulture Essential Edition ,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,2015,1,6,"3, 4",45,90,13,2.89,Strategy 
26,7.885,Root ,Decide the fate of the forest as woodland factions fight for contrasting goals.,2018,2,4,4,60,90,10,3.71,"Strategy,  Wargames"
27,7.883,Orl?ans,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",2014,2,4,4,90,90,12,3.04,Strategy 
28,7.88,Mage Knight Board Game,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",2011,1,4,"1, 2",60,240,14,4.33,"Strategy,  Thematic"
29,7.874,Everdell,Use resources to build a village of critters and constructions in this woodland game.,2018,1,4,3,40,80,13,2.82,"Family,  Strategy"
30,7.844,Clank!: Legacy – Acquisitions Incorporated,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",2019,2,4,4,90,120,13,2.69,Thematic
31,7.837,Puerto Rico,"Ship goods, construct buildings, and choose roles that benefit you more than others.",2002,3,5,4,90,150,12,3.28,Strategy 
32,7.834,Food Chain Magnate,Strategically hire and manage your workforce to outcompete rival fast food chains. ,2015,2,5,"3, 4",120,240,14,4.2,Strategy 
33,7.826,Caverna: The Cave Farmers,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",2013,1,7,4,30,210,12,3.79,Strategy 
34,7.819,Lost Ruins of Arnak,Explore an island to find resources and discover the lost ruins of Arnak.,2020,1,4,3,30,120,12,2.85,"Family,  Strategy"
35,7.818,Blood Rage,Ragnar?k has come! Secure your place in Valhalla in epic Viking battles.,2015,2,4,4,60,90,14,2.88,Strategy 
36,7.809,Agricola,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,2007,1,5,"3, 4",30,150,12,3.64,Strategy 
37,7.802,Marvel Champions: The Card Game,Battle Marvel villains with unique teams of iconic heroes in this LCG.,2019,1,4,"1, 2",45,90,14,2.86,Customizable
38,7.799,Eclipse: Second Dawn for the Galaxy,"Build an interstellar civilization by exploration, research, conquest, and diplomacy",2020,2,6,"4, 6",60,200,14,3.57,Strategy 
39,7.795,Too Many Bones,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,2017,1,4,3,60,120,12,3.84,"Strategy,  Thematic"
40,7.794,Maracaibo,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,2019,1,4,3,30,120,12,3.89,Strategy 
41,7.785,Mansions of Madness: Second Edition,Unravel mysteries in Arkham with your investigative team in this app-guided game.,2016,1,5,"3, 4",120,180,14,2.67,Thematic
